time_s,node_type,node_id,channel_type,sat_id,beam_id,c_n_db,fspl_db,atm_loss_db,rx_power_dbw,sinr_db,rx_bytes
7.000000,UT,1,FORWARD_USER_CH,20,62,14.408606,182.835262,0.000000,-108.986901,14.408606,570
7.000000,UT,2,FORWARD_USER_CH,20,62,14.408606,182.835262,0.000000,-108.986901,14.408606,570
7.000000,UT,3,FORWARD_USER_CH,20,62,14.408606,182.835262,0.000000,-108.986901,14.408606,570
7.000000,UT,4,FORWARD_USER_CH,20,62,14.408606,182.835262,0.000000,-108.986901,14.408606,540
7.000000,GW,1,NA,-1,-1,nan,nan,nan,nan,nan,0
7.000000,GW,2,RETURN_FEEDER_CH,20,2,9.707708,181.884554,0.000000,-113.416193,9.707708,1440
7.000000,GW,3,NA,-1,-1,nan,nan,nan,nan,nan,0
7.500000,UT,1,FORWARD_USER_CH,20,62,14.402716,182.824207,0.000000,-108.993399,14.402716,720
7.500000,UT,2,FORWARD_USER_CH,20,62,14.402716,182.824207,0.000000,-108.993399,14.402716,720
7.500000,UT,3,FORWARD_USER_CH,20,62,14.402716,182.824207,0.000000,-108.993399,14.402716,720
7.500000,UT,4,FORWARD_USER_CH,20,62,14.402716,182.824207,0.000000,-108.993399,14.402716,690
7.500000,GW,1,NA,-1,-1,nan,nan,nan,nan,nan,0
7.500000,GW,2,RETURN_FEEDER_CH,20,2,9.701593,181.873498,0.000000,-113.422690,9.701593,2040
7.500000,GW,3,NA,-1,-1,nan,nan,nan,nan,nan,0
8.000000,UT,1,FORWARD_USER_CH,20,62,14.396399,182.813155,0.000000,-109.000366,14.396399,870
8.000000,UT,2,FORWARD_USER_CH,20,62,14.396399,182.813155,0.000000,-109.000366,14.396399,870
8.000000,UT,3,FORWARD_USER_CH,20,62,14.396399,182.813155,0.000000,-109.000366,14.396399,870
8.000000,UT,4,FORWARD_USER_CH,20,62,14.396399,182.813155,0.000000,-109.000366,14.396399,840
8.000000,GW,1,NA,-1,-1,nan,nan,nan,nan,nan,0
8.000000,GW,2,RETURN_FEEDER_CH,20,2,9.695036,181.862446,0.000000,-113.429658,9.695036,2640
8.000000,GW,3,NA,-1,-1,nan,nan,nan,nan,nan,0
8.500000,UT,1,FORWARD_USER_CH,20,62,14.389649,182.802105,0.000000,-109.007809,14.389649,1020
8.500000,UT,2,FORWARD_USER_CH,20,62,14.389649,182.802105,0.000000,-109.007809,14.389649,1020
8.500000,UT,3,FORWARD_USER_CH,20,62,14.389649,182.802105,0.000000,-109.007809,14.389649,1020
8.500000,UT,4,FORWARD_USER_CH,20,62,14.389649,182.802105,0.000000,-109.007809,14.389649,990
8.500000,GW,1,NA,-1,-1,nan,nan,nan,nan,nan,0
8.500000,GW,2,RETURN_FEEDER_CH,20,2,9.688030,181.851397,0.000000,-113.437100,9.688030,3240
8.500000,GW,3,NA,-1,-1,nan,nan,nan,nan,nan,0
9.000000,UT,1,FORWARD_USER_CH,20,62,14.382463,182.791060,0.000000,-109.015733,14.382463,1170
9.000000,UT,2,FORWARD_USER_CH,20,62,14.382463,182.791060,0.000000,-109.015733,14.382463,1170
9.000000,UT,3,FORWARD_USER_CH,20,62,14.382463,182.791060,0.000000,-109.015733,14.382463,1170
9.000000,UT,4,FORWARD_USER_CH,20,62,14.382463,182.791060,0.000000,-109.015733,14.382463,1140
9.000000,GW,1,NA,-1,-1,nan,nan,nan,nan,nan,0
9.000000,GW,2,RETURN_FEEDER_CH,20,2,9.680571,181.840351,0.000000,-113.445025,9.680571,3840
9.000000,GW,3,NA,-1,-1,nan,nan,nan,nan,nan,0
9.500000,UT,1,FORWARD_USER_CH,20,62,14.374832,182.780017,0.000000,-109.024145,14.374832,1320
9.500000,UT,2,FORWARD_USER_CH,20,62,14.374832,182.780017,0.000000,-109.024145,14.374832,1320
9.500000,UT,3,FORWARD_USER_CH,20,62,14.374832,182.780017,0.000000,-109.024145,14.374832,1320
9.500000,UT,4,FORWARD_USER_CH,20,62,14.374832,182.780017,0.000000,-109.024145,14.374832,1290
9.500000,GW,1,NA,-1,-1,nan,nan,nan,nan,nan,0
9.500000,GW,2,RETURN_FEEDER_CH,20,2,9.672653,181.829308,0.000000,-113.453436,9.672653,4440
9.500000,GW,3,NA,-1,-1,nan,nan,nan,nan,nan,0
